文件名,事件名称,场景,时间,天气,秃秃情绪,人类情绪,标签,描述,原始Prompt
E30_夹子夹到帽子.mp4,夹子夹到帽子,人类世界,不限,不限,好奇→着急→松气,,夹子 帽子 晾衣夹 夹住了,秃秃好奇掰开夹子被夹住帽子，使劲拽终于解开远远看着它,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：桌面上有一个木质小夹子（晾衣夹），夹子比秃秃高半个头。秃秃站在旁边。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃好奇地用双手掰开夹子——弹簧好紧使了好大劲。掰开后探头看里面。松手时夹子弹回来夹住了帽子边缘（使劲掰→探头看→被夹住时惊）。音效：掰夹子吱声，弹回夹住咔声。
3-7s（中景｜固定）：秃秃的帽子被夹子夹住拽着头往下歪。它用手拽夹子想拔下来——拔不掉。急得一只脚踩着夹子另一手拉帽子（拽时使劲→拔不掉时急→踩着拉时搞笑姿势）。音效：拽声，夹子不松声。
7-10s（中景｜固定）：秃秃找到诀窍了——从两侧掰开夹子，帽子解放了！夹子弹飞出去叮的一声落到远处。秃秃赶紧摸了摸帽子确认没坏（掰开时使劲→帽子自由后松口气→摸帽子时心疼）。音效：掰开声，弹飞叮声，摸帽子声。
10-13s（中景｜固定）：秃秃远远看着落在远处的夹子，摇了摇头。拍了拍帽子确认在。望向镜头指了指夹子又摇头——那东西太可怕了（警惕→摇头时搞笑）。音效：安静。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
G09_你回来它假装没在意.mp4,你回来它假装没在意,人类世界,不限,不限,紧张→绷不住笑,回来了/我回来了/到家了,回来了 我回来了 到家了 回家了,秃秃背对着偷看三次，绷不住笑冲过来抱你,"图片1：秃秃角色参考图。图片2：秃秃张嘴时的参考图，张嘴的嘴部细节参考图2中的嘴。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：桌面上，秃秃背对镜头坐着。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃背对镜头坐着——听到你回来了但故意不转身。它的帽子微微动了一下（耳朵在听）但身体不动。假装在看别的地方（听到你→紧张故意不转身→装没在意）。音效：门开声，秃秃故意不动。

3-7s（中景｜固定）：秃秃还是不转身——但它偷偷转了一下头看了镜头一眼马上转回去。又偷看了一眼——又转回去。每次偷看速度越来越慢藏不住了（假装不看→偷看一眼→又偷看→藏不住的克制）。音效：转头极轻声。

7-10s（中景｜固定）：秃秃终于忍不住了——猛地转过来！但立刻又假装镇定——整理了一下帽子，假装不经意地看了看镜头。然后假装打了个哈欠（没有牙）——装作刚睡醒的样子（忍不住转身→假装镇定→假装打哈欠的拙劣演技）。音效：转身声，整理帽子声，假哈欠声。

10-13s（中景｜固定）：演不下去了——秃秃的嘴角越来越忍不住上扬。最后它放弃假装，笑着（没有牙）冲向镜头——张开小短手要抱。画面定格在它张手扑向镜头的瞬间（绷不住笑了→冲过来要抱的开心爆发）。音效：忍笑声，冲过来哒哒声，嘟嘟♪开心。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
下载_111_111 | 秃秃炫耀新学会的事.mp4,炫耀新学会的事,人类世界,不限,不限,骄傲,看我/你看/学会了,看我 你看 学会了 厉害吧 新技能,秃秃得意地表演新学会的动作给你看,"图片1是小蘑菇角色形象参考。微缩场景，小蘑菇只有4cm高，构图中近景，角色不要太大不要超过画面三分之一。场景：桌面上，明亮自然光。蘑菇角色站在中央，旁边有一颗纽扣。微距浅景深。角色没有手指和牙齿。

0-3s：蘑菇角色使劲挥手吸引注意——""嘟嘟嘟！""看这边！等你看过来了——它严肃地清了清嗓子。然后摆好姿势——两只手往后背——挺胸——准备表演。角色没有手指和牙齿。音效：挥手""嘟嘟嘟！""看我，清嗓声""嘟嘟""，摆姿势安静。

3-7s：蘑菇角色走到纽扣旁边——深吸一口气——两只手抱住纽扣边缘——使劲——把纽扣举过了头顶！（纽扣比它头大但不是特别重。）它举着纽扣站了三秒——脸涨得微红——手在抖但坚持举着。然后放下——累得喘了两口。角色没有手指和牙齿。音效：走过去深吸声，抱纽扣""嘟嘟嘟""使劲，举过头""嘟——！""维持，手抖声，放下声喘""嘟……嘟……""。

7-10s：蘑菇角色喘完气抬头看镜头——眼神是""厉害吧！？""的期待。它等了一秒——好像得到了反应——整个人蹦了起来——""嘟嘟♪！！！""在原地转了一圈挥拳庆祝。角色没有手指和牙齿。音效：看镜头期待""嘟？嘟？""，蹦起来duang声""嘟嘟♪！！！""转圈挥拳。

10-13s：蘑菇角色庆祝完稳了稳——它又走到纽扣旁边——看了看纽扣——看了看镜头——要不要再举一次？它摆好姿势——刚要举——算了太累了。它拍了拍纽扣像拍了拍好朋友，看向镜头笑了——今天的表演到此结束！画面定格。音效：走过去声，看纽扣看镜头""嘟？""再来一次？摆姿势声，""嘟……""算了太累了，拍纽扣声""嘟嘟♪""谢谢观看。只要音效，不要背景音乐，不要字幕。注意：小蘑菇没有牙齿、没有舌头、没有眉毛。"
下载_35_35 | 秃秃在书页里.mp4,在书页里,人类世界,不限,不限,好奇,,书 看书 读书 翻书,秃秃在打开的书页上走，描着文字笔画像走迷宫,"图片1是小蘑菇角色形象参考。微缩场景，小蘑菇只有4cm高，构图中近景，角色不要太大不要超过画面三分之一。场景：翻开的大书上，书页对蘑菇角色来说像一片巨大的白色平原，上面的文字像神秘的图案。下午柔和光线。微距浅景深。角色没有手指和牙齿。

0-3s：蘑菇角色站在书页上，低头看着巨大的文字——每个字比它的脚还大。它沿着一行文字走，像走在一条奇怪的路上。走到句号前停下来——句号对它来说像一个黑色圆坑。它蹲下来戳了一下。角色没有手指和牙齿。音效：在纸上走沙沙声，""嘟？""看文字，蹲下戳句号声。

3-7s：翻书的风突然吹来——书页要翻了！巨大的书页像一面墙压过来。蘑菇角色撒腿跑——跑向书页边缘想逃。书页压下来盖住了它——它被夹在两页之间，变成了一个蘑菇形状的书签。角色没有手指和牙齿。音效：风声，书页翻动哗声，""嘟！！""跑的急促碎步声，被盖住噗声，安静。

7-10s：蘑菇角色从书页缝隙里慢慢把头挤出来——被两页纸夹着，只有蘑菇帽和脸露出来。它使劲扭身体——pop！从书页里弹出来弹到空中翻了一圈落回书面上。帽子歪了。角色没有手指和牙齿。音效：挤出来沙沙声""嘟嘟嘟""使劲，弹出pop声，空中翻转呼声，落回噗声弹一下。

10-13s：蘑菇角色趴在书页上喘气。它回头看了看差点把它压扁的书页——再看了看那些巨大的文字。从旁边撕了一小片书角纸（很小一点），折了折，举在手里像举着一面小旗子。看向镜头，虽然刚才很狼狈但表情很骄傲——我征服了这本大书！画面定格。音效：喘气""嘟……嘟……""，撕纸嘶声极轻，折纸声，举起来""嘟！""骄傲。只要音效，不要背景音乐，不要字幕。注意：小蘑菇没有牙齿、没有舌头、没有眉毛。"
下载_E11_锡纸船漂水杯.mp4,锡纸船漂水杯,人类世界,不限,不限,好奇→享受,,锡纸 船 水杯 漂 折纸,秃秃坐在锡纸折的船上在水杯里漂,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：桌面上一个玻璃水杯装着大半杯水，旁边有一小片揉皱的锡纸。秃秃站在杯子旁。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃把锡纸展开压平，用手捏成一个小船形状。歪歪扭扭的但能看出是船。举起来审视了一下（专注捏→审视时点头）。音效：锡纸揉捏沙声。
3-7s（中景｜固定）：秃秃踮脚把锡纸船放到水杯水面上——浮了！秃秃高兴得蹦了一下。然后趴在杯壁上看水面的小船晃（笑着，放上去时紧张→浮起来后开心→看时入迷）。音效：船落水面极轻声，水面微波声。
7-10s（中景｜固定）：秃秃对着水面吹了一口气——船在杯子里转了起来。它绕着杯子追着船吹，船越转越快（笑着，吹气时有趣→追着吹时开心投入）。音效：吹气呼声，水面波动声。
10-13s（中景｜固定）：秃秃停下来看船慢慢停到杯壁边。趴在杯壁上把脸贴近水面看船倒影。望向镜头指了指船歪头（安静欣赏分享）。音效：安静，水面微声。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
下载_E12_纸飞机起飞.mp4,纸飞机起飞,人类世界,不限,不限,期待→兴奋,,纸飞机 飞 折纸,秃秃骑在纸飞机上从桌边飞出去,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：书桌边缘，秃秃站在一架小纸飞机旁边（纸飞机比它大两倍）。桌面下方是地板远景。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃爬到纸飞机驾驶位坐好。双手扶着纸飞机尖头。看了看桌面边缘——下面好高。深吸一口气（坐上时认真→看下面时紧张→深吸气准备）。音效：纸声，吸气声。
3-7s（中景｜固定）：秃秃使劲推动纸飞机冲向桌沿——纸飞机滑出桌面起飞了！秃秃趴在上面，纸飞机在空中滑翔。帽子被风压着（笑着，推出时兴奋→飞起来后既害怕又刺激）。音效：纸飞机滑桌面声，起飞呼声，风声。
7-10s（中景｜跟拍）：纸飞机开始下降——秃秃闭紧眼抓紧。纸飞机晃了两下平稳降落在地板上滑行了一段（下降时闭眼紧张→着陆后睁眼惊喜）。音效：下降声，着陆沙声。
10-13s（中景｜固定）：秃秃从纸飞机上跳下来，回头看了看飞行轨迹。举双手庆祝，然后跑回纸飞机旁边拍了拍机翼。望向镜头竖大拇指（笑着，庆祝激动→拍机翼时感激→看镜头骄傲）。音效：蹦跳声，拍纸声。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
下载_E20_纸巾被风卷走.mp4,纸巾被风卷走,人类世界,不限,不限,着急,,纸巾 风 追 吹走了,秃秃追被风吹走的纸巾追了半天,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：桌面上一张抽出来的白色纸巾比秃秃大好几倍，秃秃站在纸巾上。窗户有微风。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃站在纸巾上面东张西望。一阵风来纸巾开始滑动——秃秃脚下的纸巾带着它在桌面上缓缓移动（东张西望→脚下移动时惊→低头看脚下）。音效：风声，纸巾滑桌面声。
3-7s（中景｜固定）：纸巾越滑越快，秃秃蹲下来抓住纸巾不让自己掉下去。它像站在滑板上一样在桌面冲浪。帽子被风吹得飘（抓稳时紧张→冲浪时又怕又刺激）。音效：纸巾滑行声加速，风声。
7-10s（中景｜固定）：纸巾滑到桌沿停住了但秃秃没停——惯性让它从纸巾上飞出去。在空中张开手降落到旁边一本书上（飞出去时惊→落到书上后松口气）。音效：飞出呼声，落书噗声。
10-13s（中景｜固定）：秃秃坐在书上看着纸巾还在桌沿飘。它拍了拍胸口表示好险。站起来望向镜头摇了摇头——再也不站纸巾了（后怕→摇头时搞笑）。音效：拍胸口声，安静。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
下载_E24_饼干当盾牌.mp4,饼干当盾牌,人类世界,不限,不限,认真→得意,,饼干 零食 吃的,秃秃举着一块饼干当盾牌很威风,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：桌面上有一块圆形饼干比秃秃的身体大。秃秃举着饼干站着。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃把圆饼干立起来当盾牌，从侧面探出头看了看前方。又缩回去。做了个冲锋的姿势（探头时警觉→缩回时紧张→摆姿势时认真）。音效：饼干立起声，探头声。
3-7s（中景｜固定）：秃秃举着饼干盾牌冲了出去——跑了三步重心不稳，饼干太重翻倒把秃秃压在下面。它从饼干边缘探出头（冲锋时勇敢→被压时懵→探头时无奈）。音效：跑步声，饼干倒噗声。
7-10s（中景｜固定）：秃秃从饼干下面钻出来。闻了闻饼干——好香。看了看四周没人注意，偷偷咬了一小口边角（嘴巴碰饼干一下表示咬，偷吃→好吃闭眼）。音效：闻声，咬饼干咔声极轻。
10-13s（中景｜固定）：秃秃擦了擦嘴角的饼干屑，把饼干重新立起来恢复盾牌样子。假装什么都没发生。望向镜头无辜地眨眨眼（掩饰→无辜时搞笑）。音效：立饼干声，安静。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
下载_E27_杯子里的回音.mp4,杯子里的回音,人类世界,不限,不限,好奇→惊喜,,杯子 回音 声音 喊,秃秃对着杯子喊听到回音越喊越开心,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：桌面上一个空的大陶瓷杯侧倒着，杯口朝向秃秃。秃秃站在杯口前。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃朝杯子里探了探头——里面黑洞洞的。它用手拍了一下杯壁——嗡嗡回响。秃秃吓了一跳缩了回来（探头时好奇→听到回响后惊缩）。音效：拍杯壁咚声，回响嗡声。
3-7s（中景｜固定）：秃秃又凑过去对着杯口拍了两下手——回响放大了。它兴奋了，跺了跺脚——回响更大。开始各种发出声音：跳、拍手、跺脚（发现回音后越玩越嗨）。音效：各种回响放大声。
7-10s（中景｜固定）：秃秃干脆钻进杯子里了——在里面发出声音回响震得帽子都在抖。它在杯子里转了个圈声音绕了一圈（在里面时被声音震到→转圈时享受）。音效：杯内密闭回响声。
10-13s（中景｜固定）：秃秃从杯子里钻出来，头上有静电帽子上的毛微微炸起。它拍了拍帽子。对着杯口最后拍了一下手——回响当告别。望向镜头歪头（告别时温馨有趣）。音效：最后一声回响，安静。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
下载_F17_在口袋里探出头.mp4,在口袋里探出头,人类世界,不限,不限,谨慎→得意,,口袋 藏 探头 偷看,秃秃从口袋里探出头偷看，掏出小糖展示,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：一件衣服的胸前口袋——秃秃在口袋里面，只露出帽顶。口袋对它来说像一个深坑。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：口袋里只露出红色帽顶在微微动。慢慢地——帽子往上移——露出两只眼睛——四处张望。左看——右看——然后看到镜头（小心翼翼探出来→发现镜头的惊）。音效：布料窸窣声。

3-7s（中景｜固定）：秃秃从口袋里慢慢爬出来——两只小短手扒着口袋边缘，身体往上翻——帽子卡在口袋口duang了一下才出来。上半身露在外面趴在口袋口上（爬出来费力→帽子卡住→出来后松气）。音效：爬声，帽子卡住duang声，出来声。

7-10s（中景｜固定）：秃秃趴在口袋口上，小短腿还在口袋里面晃着。它下巴搁在口袋边缘——这个位置刚好可以看到外面的世界又很安全。微风吹过帽子微微飘（笑着，找到舒服位置的惬意）。音效：腿在口袋里晃的布料声，微风声。

10-13s（中景｜固定）：秃秃从口袋里掏出一个小东西——一颗之前藏在口袋里的小糖。它举到镜头前面展示——然后又缩回口袋里只露帽顶。画面定格（笑着，分享秘密宝贝的得意）。音效：掏出声，缩回去窸窣声。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
人类世界-你出门它追到门口.mp4,你出门它追到门口,人类世界,不限,不限,急切→不舍,出门了/拜拜/走了/上班去了,出门了 走了 拜拜 上班去了 出发,秃秃追着跑到门口，门关了靠着门等你回来,"图片1：秃秃角色参考图。图片2：秃秃张嘴时的参考图，张嘴的嘴部细节参考图2中的嘴。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：地板上靠近门口，门缝下方有一道光。秃秃在远处。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：远处传来出门的脚步声——秃秃猛地抬头，从桌角后面冲出来往门口跑。小短腿跑得飞快但相对门太远了——跑了好几步门还很远（听到脚步声→冲出来追→使劲跑的急切）。音效：脚步声渐远，秃秃跑步哒哒哒声急切。

3-7s（中景｜固定）：门开了——一道光照进来又迅速变窄——门在关上！秃秃加速冲向门缝——跑到门口时门已经关了。它一头撞到门上duang弹回来坐在地上（门关上→冲到门口→撞门的惊→弹回来的懵）。音效：门开声，门关声，撞门duang声，坐地噗声。

7-10s（中景｜固定）：秃秃坐在关上的门前面，呆呆看着门缝——门缝下面那道光是外面的世界。它伸出小短手碰了碰门——门太大推不动。它把脸贴到门缝上看外面——只看到光（撞到后呆住→碰门推不动→贴门缝看外面的不舍）。音效：碰门声，贴门声。

10-13s（中景｜固定）：秃秃在门前坐下来靠着门。把帽子扶正，抱着膝盖。它知道你会回来的——所以它就在这等。最后看了一眼镜头——微微上扬嘴角。画面定格在它小小地靠着巨大的门等着的画面（安静坐下等→看镜头微笑的安心）。音效：坐下声，安静，嘟……极轻不舍但安心。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
人类世界-便签纸被风吹.mp4,便签纸被风吹,人类世界,不限,不限,着急,,便签 风 飞 追,秃秃追被风吹走的便签纸,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：书桌上，一叠黄色便签纸旁边。微风从窗户吹进来。秃秃站在便签纸旁。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：一阵风把最上面一张便签纸吹起来——正好贴到秃秃脸上。它伸手扒拉但风一直按着纸（被贴时惊→扒拉时急）。音效：风声，纸贴脸噗声。
3-7s（中景｜固定）：秃秃终于把纸从脸上扯下来。刚松手又一张飞过来贴到帽子上。接着第三张贴到肚子上。秃秃全身贴满便签纸像个移动便签板（扯下后松气→又贴上后无奈→全身贴满后发呆）。音效：纸飞声，贴上啪声连续。
7-10s（中景｜固定）：风停了。秃秃低头看自己浑身贴着黄色便签纸。抖了抖身体——纸纷纷飘落像黄色雪花。最后一张还贴在帽顶上（抖纸时搞笑→纸飘落时好看）。音效：抖身体声，纸飘落沙声。
10-13s（中景｜固定）：秃秃把最后一张从帽子上拿下来看了看——上面什么都没写。它用蜡笔在上面画了个笑脸贴回便签堆上。望向镜头歪头（笑着，画时认真→贴回去后满足）。音效：画笔沙声，贴上声。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
人类世界-回形针迷宫.mp4,回形针迷宫,人类世界,不限,不限,好奇→专注,,回形针 迷宫 文具,秃秃在回形针摆成的迷宫里穿行找路,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：白色桌面上用彩色回形针排列成简单的迷宫路线。秃秃站在迷宫入口。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜俯拍固定）：秃秃站在迷宫入口探头看了看路线。踏进去沿着回形针墙壁走，用手摸着墙（好奇认真）。音效：小脚步声，手碰回形针叮声。
3-7s（中景｜俯拍固定）：走到一个岔路口左右看了看。选了左边——走到死胡同。退回来选右边（选择时犹豫→死胡同时无奈→退回时果断）。音效：脚步声，碰到死胡同声。
7-10s（中景｜俯拍固定）：秃秃越走越急，转了好几个弯。突然看到出口了——加速跑。跑过出口的瞬间蹦了一下双手举高（笑着，急切→看到出口兴奋→冲出去时超开心）。音效：急跑声，蹦跳声。
10-13s（中景｜固定）：秃秃站在迷宫出口回头看自己走过的路线。满意地叉腰点点头。望向镜头竖大拇指（笑着，成就感满满）。音效：安静，嘟嘟♪得意。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
人类世界-给你倒水.mp4,给你倒水,人类世界,不限,不限,认真→不好意思,喝水/渴了/多喝水/该喝水了,喝水 渴了 多喝水 该喝水了,秃秃端瓶盖水来回跑给你倒，只有一点点但很努力,"图片1：秃秃角色参考图。图片2：秃秃张嘴时的参考图，张嘴的嘴部细节参考图2中的嘴。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：桌面上，一个杯子比秃秃高三倍，旁边有一个小瓶盖装着水。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃抱着瓶盖装的水摇摇晃晃走向大杯子——水在瓶盖里晃来晃去差点洒。它小心翼翼走到杯子旁边（认真端水→水快洒了的紧张）。音效：水晃声，小脚步声。

3-7s（中景｜固定）：杯子太高了——秃秃够不到杯口。它踮脚举高瓶盖——还是不够。它想了想，爬上杯子旁边的一摞硬币站上去——够到了！把水倒进杯子里（够不到→想办法→爬高倒进去）。音效：踮脚声，爬硬币声，倒水声。

7-10s（中景｜固定）：水倒完了——就那么一小口。秃秃看了看杯子里的水——跟杯子比只有一点点。它歪头看了看镜头——不好意思的表情（倒完→看到水太少→不好意思）。音效：安静。

10-13s（中景｜固定）：秃秃跑回去又端了一瓶盖水来——继续倒。一趟一趟来回跑。画面定格在它认真端着水往回跑的小身影（认真来回跑→虽然少但很努力）。音效：来回跑哒哒声，倒水声。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
