文件名,事件名称,场景,时间,天气,秃秃情绪,人类情绪,标签,描述,原始Prompt
人类世界-茶包的绳子.mp4,茶包的绳子,人类世界,不限,不限,好奇,,茶包 茶 杯子 泡茶 荡,秃秃拉着茶包绳子在杯沿上荡来荡去,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。

场景：厨房台面上，一个杯子口沿挂着一个茶包，茶包的绳子垂到台面上。秃秃站在绳子旁边。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃看着地上的茶包绳子，好奇地踩了一下——绳子另一端的茶包标签在杯沿跳了一下。秃秃惊了回头看（踩时好奇→标签跳时惊回头）。音效：踩绳声，标签跳叮声。
3-7s（中景｜固定）：秃秃拉了拉绳子——茶包从杯子里被拽上来，水滴嗒嗒落下。秃秃被水滴溅到帽子上。它赶紧松手茶包又掉回杯子溅出水花（拉时使劲→被溅到后松手→溅水花时退后）。音效：拽绳声，水滴声，茶包落水扑通声。
7-10s（中景｜固定）：秃秃把绳子当跳绳甩了两下——但绳子太短了另一头连着杯子。杯子被拉歪了，秃秃赶紧扶住杯子（笑着，甩绳时开心→杯子歪时慌张扶）。音效：甩绳声，杯子歪声。
10-13s（中景｜固定）：秃秃确认杯子没倒稳住了，松了口气。坐到绳子旁边拉着绳子轻轻荡——当秋千绳。望向镜头歪头开心（笑着，放心后惬意）。音效：轻拉声，安静。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-在树皮书架上爬高找东西.mp4,在树皮书架上爬高找东西,秃秃自己家,不限,不限,好奇→倔强,,找东西 书架 爬,秃秃爬树皮书架够东西，石子滚了继续爬,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片2-5：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋游戏室墙边（参考图片5），下午。墙上有一个三层树皮小架子，最上层放着一颗亮晶晶的石子。秃秃站在架子底下仰头看。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃踮脚伸手够最上层——差远了。它搬来一颗大橡果垫脚站上去，还是够不到（努力伸手→够不到沮丧）。音效：踮脚声，橡果滚地咚声。
3-7s（中景｜固定）：秃秃直接开始爬架子，小短手扒住第一层边缘，脚蹬着使劲往上翻。翻上第一层趴着喘气，抬头看——还有两层（使劲→喘气→看到还远时无奈）。音效：手扒木头吱声，爬上去喘气声。
7-10s（中景｜固定）：继续往第二层爬，这次更费劲。好不容易翻上去，伸手一够——够到石子了！石子太滑从手里滚落，咕噜滚到一边上叮的一声弹走了（快够到时期待→石子掉落后愣住）。音效：石子掉落叮叮声，弹走声。
10-13s（中景｜固定）：秃秃趴在第二层往下看石子滚远了。叹了口气，然后发现从上面往下看风景不错，趴着看了看房间。望向镜头歪头（算了风景也不错）。音效：安静，远处风声。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-在玄关等人回来.mp4,在玄关等人回来,秃秃自己家,不限,不限,期待,,等 门口 回来,秃秃坐在门口等着，听到动静抬头,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片2-5：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋玄关（参考图片4），傍晚。秃秃坐在门槛内侧，下巴搁在膝盖上看着门外渐暗的天色。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃坐在门槛上，小短腿悬着轻轻晃。门外天色从橙变暗蓝，它一直盯着门外远方（安静等待微微失落）。音效：虫鸣渐起，微风。
3-7s（中景｜固定）：门外有声音——秃秃立刻坐直了，身体前倾探头看。只是一片叶子被风吹过。它缩回来，又搁回下巴继续等（期待抬头→发现不是后微微失落）。音效：叶子飘过沙声，秃秃坐回声。
7-10s（中景｜固定）：天色更暗了，秃秃打了个小哈欠（嘴巴微张一下立刻闭合），揉了揉眼。但还是不走，固执地看着门外（困但坚持等）。音效：哈欠极轻声，揉眼声。
10-13s（中景｜固定）：秃秃最终靠着门框眼睛半闭，但还撑着没完全睡着。一只手搭在门框上。望向镜头微微眨眼像在说你回来啦（困倦中的温暖）。音效：靠门框绒毛声，安静虫鸣。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-在门口迎接夕阳拉小提琴.mp4,在门口迎接夕阳拉小提琴,秃秃自己家,傍晚,不限,专注→陶醉,,夕阳 傍晚 音乐,秃秃用叶子当琴草茎当弓，对着夕阳拉琴很陶醉,"图片1：秃秃角色参考图。图片2：秃秃张嘴时的参考图，张嘴的嘴部细节参考图2中的嘴。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片3-6：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋玄关门口（参考图片5），傍晚夕阳光从门外照进来。秃秃站在门槛上拿着一根草茎和一片叶子当小提琴。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃把叶子夹在下巴和肩膀之间当琴身——草茎当弓。它认真地拉了一下——当然没有声音。但它的表情很专注很正式（架好叶子琴→认真拉第一下的专注）。音效：安静，草茎划叶子沙声极轻。

3-7s（中景｜固定）：秃秃开始投入地""演奏""——身体随着拉弓左右轻轻摇摆。夕阳从门外照进来给它镀了一层金色轮廓。虽然没有声音但它拉得很陶醉（投入演奏→身体摇摆→夕阳金色轮廓的美）。音效：草茎划叶子的沙声像旋律。

7-10s（中景｜固定）：拉到""高潮""——秃秃加快了拉弓的速度，身体摇摆幅度更大。帽子上的白波点在夕阳下一闪一闪（加快节奏→摇摆幅度大→帽子闪的美）。音效：沙声加快。

10-13s（中景｜固定）：秃秃慢慢停下来——最后一弓拉得很慢很长。它放下草茎弓，对着门外的夕阳微微鞠了个躬。画面定格在它面对夕阳鞠躬的小小背影（缓慢结束→对夕阳鞠躬的诗意）。音效：最后一声沙声拖长，安静。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-在阳台上做早操.mp4,在阳台上做早操,秃秃自己家,早晨,不限,认真→精神,早上好/起床了,早上好 早操 运动 起床,秃秃站门口伸懒腰踏步做操，帽子歪了扶正,"图片1：秃秃角色参考图。图片2：秃秃张嘴时的参考图，张嘴的嘴部细节参考图2中的嘴。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片3-6：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋玄关门口（参考图片5），门开着，秃秃站在门槛上面对外面。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃站在门槛上深吸一口气——伸懒腰，小短手尽力往上举身体duang弹回来。开始做操——左扭右扭（深吸气→伸懒腰→左右扭的认真）。音效：深吸气声，伸懒腰嘎声，duang声。

3-7s（中景｜固定）：秃秃开始踏步——左右左右。然后做跳跃——小短腿蹦了三下。做弯腰碰脚趾——弯下去碰不到（手太短），歪头看了看自己的短腿（踏步→跳跃→弯腰碰不到脚的搞笑无奈）。音效：踏步声，蹦跳声。

7-10s（中景｜固定）：最后一个动作——原地转圈。秃秃张开手转了两圈——帽子歪了。它停下来微微晃了晃——有点晕但站稳了（转圈→帽子歪→微微晕的可爱）。音效：转圈呼声，停下来声。

10-13s（中景｜固定）：秃秃把帽子扶正，对着门外的风景深呼吸一下。看向镜头竖大拇指——早操完成。画面定格（笑着（没有牙），精神焕发）。音效：呼吸声，嘟嘟♪开心。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-在阳台上做早操_v2.mp4,在阳台上做早操,秃秃自己家,早晨,不限,认真→精神,早上好/起床了,早上好 早操 运动 起床,秃秃站门口伸懒腰踏步做操，帽子歪了扶正,"图片1：秃秃角色参考图。图片2：秃秃张嘴时的参考图，张嘴的嘴部细节参考图2中的嘴。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片3-6：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋玄关门口（参考图片5），门开着，秃秃站在门槛上面对外面。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃站在门槛上深吸一口气——伸懒腰，小短手尽力往上举身体duang弹回来。开始做操——左扭右扭（深吸气→伸懒腰→左右扭的认真）。音效：深吸气声，伸懒腰嘎声，duang声。

3-7s（中景｜固定）：秃秃开始踏步——左右左右。然后做跳跃——小短腿蹦了三下。做弯腰碰脚趾——弯下去碰不到（手太短），歪头看了看自己的短腿（踏步→跳跃→弯腰碰不到脚的搞笑无奈）。音效：踏步声，蹦跳声。

7-10s（中景｜固定）：最后一个动作——原地转圈。秃秃张开手转了两圈——帽子歪了。它停下来微微晃了晃——有点晕但站稳了（转圈→帽子歪→微微晕的可爱）。音效：转圈呼声，停下来声。

10-13s（中景｜固定）：秃秃把帽子扶正，对着门外的风景深呼吸一下。看向镜头竖大拇指——早操完成。画面定格（笑着（没有牙），精神焕发）。音效：呼吸声，嘟嘟♪开心。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-壁炉旁烤浆果.mp4,壁炉旁烤浆果,秃秃自己家,不限,不限,满足,,壁炉 烤 暖 浆果,秃秃在壁炉旁烤浆果闻着香等着吃,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片2-5：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋客厅壁炉前（参考图片3），傍晚。小壁炉里有温暖的萤火苔藓发出橙色光，秃秃坐在壁炉前的苔藓垫上。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃用一根小树枝串着一颗红色浆果，伸到壁炉边烤。认真地转动树枝让浆果均匀受热（专注认真）。音效：壁炉苔藓微微噼啪声，浆果受热嘶声。
3-7s（中景｜固定）：浆果膨胀变大了一点，表面冒出小气泡。秃秃凑近闻了闻——香甜味道让它闭眼享受。拿回来吹了吹等凉（闻到时眯眼→吹凉时认真）。音效：气泡声，吹气声。
7-10s（中景｜固定）：秃秃小心翼翼咬了一小口——太烫了！整个身体抖了一下，嘴巴紧闭使劲吸凉气。但还是舍不得吐出来（嘴巴紧闭，被烫到→忍住因为好吃）。音效：烫到吸气声。
10-13s（中景｜固定）：秃秃端着烤好的浆果坐在壁炉旁慢慢享受，脸被橙光映得暖暖的。望向镜头把浆果举起来像在分享（温暖幸福）。音效：壁炉声持续，安静温馨。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-挂花瓣风铃.mp4,挂花瓣风铃,秃秃自己家,不限,不限,认真→惊喜,,风铃 花瓣 风 好看,秃秃挂好花瓣风铃，风吹响了很惊喜,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片2-5：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋客厅窗边（参考图片3），下午微风。秃秃站在窗台上，手里拿着用草绳串好花瓣和小石子做的风铃。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃举着风铃踮脚想挂到窗框上方的小钩子上——够不到。它把风铃叼在帽子和头之间夹住，空出双手扶着窗框爬上去（努力攀爬）。音效：攀爬吱声，风铃碰撞叮声。
3-7s（中景｜固定）：爬到窗框上边缘，摇摇晃晃地把风铃挂上钩子。挂好的瞬间一阵风吹过，风铃开始轻轻转动，花瓣和石子碰撞发出清脆声（紧张挂好→听到声音后眼睛亮了）。音效：挂上咔声，风铃叮叮声，风声。
7-10s（中景｜固定）：秃秃从窗框上跳下来，仰头看自己的作品在风中旋转。花瓣影子投在地板上晃来晃去（笑着，满足欣赏）。音效：跳下哒声，风铃持续叮声。
10-13s（中景｜固定）：秃秃用小短手轻轻推了一下风铃让它转得更厉害。叮叮声变密集。秃秃闭眼听了一下，望向镜头微笑点头（笑着，治愈满足）。音效：推风铃声，叮叮叮密集。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-搬石子排队列.mp4,搬石子排队列,秃秃自己家,不限,不限,认真→释然,,石子 排列 整理,秃秃排石子越排越歪，干脆堆成一堆也好看,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片2-5：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋游戏室地板（参考图片5），上午。地板上散着大小不一的彩色石子，秃秃正在把它们排成一排。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃双手抱着一颗比它脑袋还大的石子，摇摇晃晃走到队列尽头放下。擦了擦手去搬下一颗（好奇，努力搬运）。音效：石子放地咚声，小脚步声。
3-7s（中景｜固定）：放好后退后看——发现有一颗歪了。蹲下去推了推那颗石子，推过头了另一颗又歪了。来回调整越弄越乱（认真→越来越焦躁）。音效：石子互碰叮声，推石子咔声。
7-10s（中景｜固定）：秃秃一屁股坐在石子堆旁边，双手搭在膝盖上叹气。低头看了看乱掉的队列，又看看还没搬的石子（失落放弃叹气）。音效：坐下噗声，叹气。
10-13s（中景｜固定）：秃秃突然站起来把所有石子推到一起堆成一座小山——换个玩法。拍了拍手望向镜头歪头得意（灵机一动）。音效：石子推拢哗声，拍手声。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-收到一封树叶信.mp4,收到一封树叶信,秃秃自己家,不限,不限,惊喜→珍惜,,信 收到 惊喜,秃秃收到叶子信打开看到心形画，贴在墙上,"图片1：秃秃角色参考图。图片2：秃秃张嘴时的参考图，张嘴的嘴部细节参考图2中的嘴。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片3-6：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋玄关门口（参考图片5），门口地上有一片卷起来的叶子用草绳系着。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃打开门——看到地上有一片叶子信。它蹲下来捡起来——叶子卷比它胳膊长。它左看右看——谁放的？（开门→发现→捡起→左右看的好奇）。音效：门开声，捡起声。

3-7s（中景｜固定）：秃秃把草绳解开——使劲拽了几下。叶子展开——上面用浆果汁画了一颗心和一个歪歪的蘑菇。秃秃盯着画看了两秒（解绳→展开→看到画的惊喜）。音效：拽绳声，展开叶子沙声。

7-10s（中景｜固定）：秃秃把叶子信贴到自己胸口抱了一下。然后又展开看了一遍——这次看得更仔细，手轻轻描了描上面的心形（抱信→再看→描心形的珍惜温暖）。音效：抱信声，描声极轻。

10-13s（中景｜固定）：秃秃抱着叶子信跑进屋里——跑到客厅墙上把信贴好。退后两步看——歪了——调正。很满意地点头。画面定格（笑着（没有牙），收到信的幸福）。音效：跑声，贴声，调正声。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-用浆果汁染帽子.mp4,用浆果汁染帽子,秃秃自己家,不限,不限,好奇→得意,,染色 帽子 颜色 DIY,秃秃用浆果汁给帽子染色，手上也染了不在意,"图片1：秃秃参考图。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。张嘴时没有牙齿。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片2-5：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋游戏室地板（参考图片5），傍晚。秃秃面前摆着几颗不同颜色的浆果和一片树皮当调色板。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃捏爆一颗紫色浆果，汁液溅到树皮上。它用小短手蘸了蘸，往自己帽子上抹了一道紫色条纹（专注认真）。音效：浆果捏爆噗声，涂抹沙声。
3-7s（中景｜固定）：又蘸了蓝色浆果汁画了个圈，再用橙色点了几个点。帽子上花花绿绿的。秃秃歪头审视自己的创作——手上全是颜色（投入→退后打量时满意）。音效：涂抹声持续，安静。
7-10s（中景｜固定）：走到苔藓墙上的树脂镜子前看自己——帽子上的涂鸦歪歪扭扭不太好看。秃秃愣了两秒，使劲用手擦帽子想擦掉（看到后嫌弃慌张）。音效：擦帽子沙沙声。
10-13s（中景｜固定）：越擦越花，整个帽子变成彩色混合。秃秃放弃了，双手摊开看看自己染成彩色的手，望向镜头歪头耸肩（算了就这样吧）。音效：安静，嘟嘟～无奈但开心。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-用萤火苔藓装饰房间_v2.mp4,用萤火苔藓装饰房间,秃秃自己家,不限,不限,满足,,装饰 夜晚 灯 好看,秃秃把发光苔藓放在床头，在柔柔的绿光中入睡,"图片1：秃秃角色参考图。图片2：秃秃张嘴时的参考图，张嘴的嘴部细节参考图2中的嘴。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片3-6：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋卧室（参考图片3），夜晚，灯关着很暗。秃秃抱着一团发光的萤火苔藓。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃抱着一团绿色发光的萤火苔藓——苔藓光柔柔地照亮了它的脸。它把苔藓放在床头旁边——卧室角落亮了一小片暖绿色（抱苔藓→放在床头的认真）。音效：放苔藓极轻声。

3-7s（中景｜固定）：秃秃退后看了看——绿色的光刚好照到小床和橡果枕头上。它满意地点点头，走到苔藓旁边蹲下看——苔藓表面的光一闪一闪像在呼吸（退后看→蹲下细看→看光闪的好奇满足）。音效：安静，苔藓微弱嗡声。

7-10s（中景｜固定）：秃秃爬上小床躺好——苔藓的绿光从旁边照过来，映在它的帽子和脸上。它侧身看着苔藓的光，用小短手轻轻碰了碰苔藓表面（躺着看苔藓→轻轻碰的温柔）。音效：躺下声，碰苔藓极轻声。

10-13s（中景｜固定）：秃秃在苔藓的柔光中慢慢闭上眼——绿色光映着它安静的侧脸。画面定格在苔藓光和秃秃的小床（闭眼→安心入睡的温暖）。音效：安静温暖。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
家中-给自己泡浆果茶.mp4,给自己泡浆果茶,秃秃自己家,不限,不限,满足,,下午茶 喝茶 休息,秃秃踩破浆果流进杯子泡了杯粉红色茶，眯眼喝,"图片1：秃秃角色参考图。图片2：秃秃张嘴时的参考图，张嘴的嘴部细节参考图2中的嘴。4厘米微缩蘑菇角色（秃秃），没有牙齿，没有尾巴。红色波点蘑菇帽，奶白色圆润身体，圆润小短手像连指手套无分节。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4。图片3-6：秃秃蘑菇小屋的场景参考图（卧室、客厅+卧室、玄关、游戏室），场景风格、家具、配色请参考这些图片。

场景：蘑菇小屋客厅矮桌上（参考图片4），一个橡果壳杯子里装着水，旁边有几颗小浆果。低饱和度，浅景深，暖色调，温馨氛围。初始帧中小蘑菇占比画面六分之一，全程不要超过1/4，竖屏9:16。

0-3s（中景｜固定）：秃秃搬起一颗浆果——浆果比它拳头大。它把浆果放到橡果壳杯口上面使劲按——浆果太大放不进去（搬浆果→按进杯子→放不进的使劲）。音效：搬声，按压声。

3-7s（中景｜固定）：秃秃换个方式——站到浆果上面用脚踩。duang踩了一下浆果裂开了——汁水流进杯子里，红色汁液和水混合变成漂亮的粉红色。秃秃的脚也沾了汁（踩浆果→裂开流汁→看颜色变化的惊喜）。音效：踩破声，汁流声。

7-10s（中景｜固定）：秃秃从浆果上跳下来——脚印红红的踩在桌面上。它趴在杯口看里面的浆果茶——粉红色很漂亮。它用草茎搅了搅（跳下来→趴着看→搅一搅的满足）。音效：跳下声，搅拌声。

10-13s（中景｜固定）：秃秃捧起橡果壳杯子喝了一口——眯眼，好喝。它抱着杯子坐在矮桌旁边慢慢喝。画面定格（笑着（没有牙），享受下午茶的惬意）。音效：喝声，嘟～满足。

重要：手部为圆润连指形态无分节，不说人话，偶尔可发出嘟嘟形声词。只要音效，不要背景音乐，不要字幕。"
